Image,YOLO_iou_value,YOLO_diceCoef,YOLO_predIOU,Detectron_iou_value,Detectron_diceCoef,Detectron_predIOU,SAM_iou_value,SAM_diceCoef,SAM_predIOU,SAMlang_iou_value,SAMlang_diceCoef,SAM Lang_predIOU,SAM Area,SAM Count,SAM Lang Area,SAM Lang Count,Ground Truth Area,Ground Truth Count,YOLO Area,YOLO Count,Detectron Area,Detectron Count
image_2023-07-24_19-40-41-103223_1.png,0.6862890105014051,0.05334621000471378,0.8518450523223793,0.42791182603515043,0.033379031508504506,0.7908064960088081,0.03102270571121371,0.010053289608526337,0.03681188787571766,0.034692050014924876,0.01079719644497662,0.041437230123202475,26670,8,26234.5,7,5239.0,5,6410.5,8,5739.0,16
image_2023-07-24_19-38-53-800239_1.png,0.00693507994606049,0.0009224264941387483,0.015145140933950358,0.4432815665091155,0.03405833754847412,0.9214035087719298,0.15859783045399758,0.03743347201972429,0.1818077144502015,0.5743034055727554,0.04761721407210607,0.8299776286353467,8685,7,2825.0,3,2567.0,2,2034.0,2,1494.5,5
image_2023-07-24_19-39-41-565909_1.png,0.08730593607305936,0.012394658368987423,0.1412947088383092,0.46728395061728395,0.03987831057143986,0.6932234432234432,0.008111719646923757,0.009668825888225232,0.008244228083934275,0.004583071887665983,0.007932853277071963,0.0045870391744178155,205276,5,481285.0,5,2049.0,4,2858.5,4,2502.5,6
image_2023-07-24_19-40-51-949894_1.png,0.6593604024434064,0.06632330351495437,0.742914979757085,0.6330434782608696,0.05962597260772626,0.7884476534296029,0.05715012506889388,0.02133434623997974,0.06531324192063569,0.14120135363790187,0.029045534836368698,0.18155118024583922,30386,12,8724.0,7,3914.0,4,4471.5,4,3595.5,9
image_2023-07-24_19-40-51-949894_2.png,0.32616801930247863,0.02799032479694309,0.5759101471727344,0.4693101575230853,0.03272262462718364,0.8879753340184995,0.025915492957746478,0.013954899383152999,0.027776979037869857,0.0005956939834907667,0.00012504130828934557,0.0008439836026042923,49499,7,9139.0,4,3122.0,4,2231.5,3,1728.0,8
image_2023-07-24_19-38-37-500204_1.png,0.4353620613060862,0.039610843670550955,0.5917874396135265,0.5094518956595205,0.039292186768209496,0.7516360236833904,0.21637259395050412,0.02991860902627879,0.28275190896840846,0.5002950548802078,0.034751028840320705,0.8763696506098821,14445,13,4053.5,7,6810.5,9,7231.0,9,6477.5,12
image_2023-07-24_19-39-15-361591_2.png,0.3452649379932356,0.021513307517364313,0.5634774609015639,0.544153577661431,0.02746313879542692,0.8542465753424657,0.021361087473544108,0.012557721908671113,0.022143810363936575,0.047033601680084004,0.01616043174660443,0.05039377461091318,61872,10,38834.0,6,2298.0,3,1898.0,3,1519.0,5
image_2023-07-24_19-40-51-427304_1.png,0.2785268414481898,0.021942787451990933,0.36891277387350146,0.43822805578342905,0.026462312752635334,0.5841443411700382,0.1901864659021273,0.02102065055164089,0.23106785790257392,0.09799437016185784,0.005588245621955685,0.272039072039072,18804,15,3535.5,3,7021.0,11,10979.0,10,9890.5,15
image_2023-07-24_19-39-20-804259_2.png,0.5633505846271804,0.03225700237070858,0.7487898089171975,0.4814738149451459,0.025669747551386398,0.7949419002050581,0.07506822350467499,0.030216539864043577,0.07656681344254067,0.06603308378535885,0.014890218753790789,0.07534912271727454,62960,10,18550.0,4,3744.0,5,3477.5,5,3628.0,9
image_2023-07-24_19-39-10-212718_1.png,0.18492784607161947,0.016789290761644236,0.2732477788746298,0.5273957651167868,0.029644899261331566,0.7564182842830307,0.031274086184748334,0.013379764480172668,0.03318381204926767,0.14605892722236213,0.007225163500467144,0.7754010695187166,40351,8,612.5,2,2980.5,8,5114.0,9,3071.0,14
image_2023-07-24_19-41-24-054209_1.png,0.1712052002810963,0.01614058624530544,0.3479114601927883,0.518262834191038,0.034370239651053416,0.9459335624284078,0.15335383070841438,0.019825512774233323,0.22948356807511738,0.344295623056685,0.02405069107100342,0.8202279202279202,10650,9,2887.0,4,7012.5,5,4883.5,5,3832.0,7
image_2023-07-24_19-39-57-881380_1.png,0.5812567713976164,0.04043106371754776,0.7299319727891157,0.3954659949622166,0.02398090692124105,0.81877444589309,0.439202657807309,0.0252651696129957,0.9218967921896792,0.42712294043092525,0.025719791646791702,0.8393524283935243,717,3,665.0,1,1192.0,3,1428.0,4,579.0,3
image_2023-07-24_19-38-43-137294_2.png,0.5818363273453094,0.03236156134819486,0.6161488057493131,0.6330783434450014,0.026903115156542503,0.8008008008008008,0.03708453193775344,0.01058619836754885,0.04003142654046167,0.009210941265373883,0.012106873661879576,0.009213627598028712,29655,13,389083.5,8,2739.5,3,4282.5,3,2927.5,4
image_2023-07-24_19-41-23-671579_1.png,0.5102811582039446,0.037744633960858566,0.5642691415313225,0.5928934010152285,0.03651597573938598,0.6894923258559622,0.0133905082605493,0.010246087262845352,0.013728187285918495,0.41325898389095417,0.021136021547967995,0.7968936678614098,46225,8,735.0,1,1257.0,3,1993.0,2,1524.0,4
image_2023-07-24_19-38-48-148395_1.png,0.7110799438990182,0.03967570782401828,0.8848167539267016,0.5795519816197587,0.03173305237997893,0.8909492273730685,0.010579683688202201,0.010473354553855632,0.010754592843767397,0.01407025933419165,0.012465543228820118,0.014342554787101076,118577,5,95499.5,2,2991.0,3,2532.5,3,1976.0,4
image_2023-07-24_19-38-42-627072_1.png,0.49468871856931557,0.03303373409594958,0.5407113462669019,0.521223577934353,0.027512949137782454,0.6680616740088106,0.5075034106412005,0.0237416860791116,0.7607361963190185,0.5062823355506282,0.024934251835943545,0.7135416666666666,3423,8,4347.0,7,3484.0,11,6390.5,11,3890.5,14
image_2023-07-24_19-38-53-060878_1.png,0.5183391003460207,0.045716448155472544,0.6231281198003328,0.5901431418735278,0.04029893220821321,0.8535115303983228,0.08459981917595902,0.02207145986139348,0.09712336892052195,0.4113291373565346,0.027690198766278273,0.8340840840840841,31964,15,2133.5,7,4281.0,7,6960.0,10,3357.5,13
image_2023-07-24_19-41-29-016786_1.png,0.24292589027911454,0.02316425142941052,0.31463475442533034,0.5544581618655693,0.03736710733105297,0.627639751552795,0.17922549186369563,0.027997484566397703,0.19873003897900163,0.48132593370331483,0.029867277228644292,0.6438603531300161,16299,12,6454.5,7,3764.5,8,6928.5,7,9201.5,18
